flye,hybridspades,metaflye_nextpolish,metamdbg,metamdbg_nextpolish,myloasm,myloasm_nextpolish,opera_ms
Hominiventricola aquisgranensis,Eubacterium_R sp000436835,Onthomonas sp900752305,Mesosutterella multiformis,CAKRPJ01 sp934376955,Bacteroides eggerthii,Eubacterium_R sp000436835,Coprococcus_A intestinihominis
Suilimivivens sp000438155,Alistipes shahii,Bifidobacterium bifidum,CAG-882 sp003486385,Butyricimonas paravirosa,Enterococcus_B faecium,Evtepia excrementipullorum,Eubacterium_I ramulus_A
Acetatifactor hominis,Onthomonas sp900752305,Cryptobacteroides sp900544195,Butyricimonas hominis,Eubacterium_G ventriosum,Scatocola faecipullorum,Avimicrobium caecorum,Prevotella sp900553595
Gemmiger sp900540595,Mediterraneibacter_A butyricigenes,Coprococcus_A intestinihominis,Agathobacter rectalis,Eubacterium_R sp000436835,Desulfovibrio fairfieldensis_A,Cryptobacteroides sp900544195,CAG-882 sp003486385
Bifidobacterium longum,Coprococcus_A intestinihominis,Eubacterium_I ramulus_A,Ruthenibacterium lactatiformans,Leuconostoc lactis,Ruminococcus_C sp000980705,Bifidobacterium bifidum,Mesosutterella multiformis
Otoolea fessa,Eubacterium_I ramulus_A,Prevotella sp900553595,Bacteroides caccae,Alistipes shahii,CAG-269 sp001916065,Coprococcus_A intestinihominis,Butyricimonas hominis
Bacteroides eggerthii,Prevotella sp900553595,Mesosutterella multiformis,Hominiventricola aquisgranensis,Onthomonas sp900752305,Parasutterella excrementihominis,Eubacterium_I ramulus_A,Agathobacter rectalis
Enterococcus_B faecium,Mesosutterella multiformis,CAG-882 sp003486385,Coprococcus ammoniilyticus,Cryptobacteroides sp900544195,CAG-115 sp003531585,Prevotella sp900553595,Bacteroides caccae
Scatocola faecipullorum,CAG-882 sp003486385,Butyricimonas hominis,Suilimivivens sp000438155,Bifidobacterium bifidum,Coprococcus sp000433075,Mesosutterella multiformis,Coprococcus ammoniilyticus
Desulfovibrio fairfieldensis_A,Agathobacter rectalis,Agathobacter rectalis,Gemmiger sp900540595,Coprococcus_A intestinihominis,Collinsella sp027671585,CAG-882 sp003486385,Gemmiger sp900540595
Ruminococcus_C sp000980705,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,Bifidobacterium longum,Eubacterium_I ramulus_A,Adlercreutzia equolifaciens,Butyricimonas hominis,Bifidobacterium longum
Parasutterella excrementihominis,Bacteroides caccae,Coprococcus ammoniilyticus,Otoolea fessa,Prevotella sp900553595,CAG-269 sp001916035,Agathobacter rectalis,Otoolea fessa
CAG-115 sp003531585,Hominiventricola aquisgranensis,Hominiventricola aquisgranensis,Bacteroides eggerthii,Mesosutterella multiformis,Anaerotardibacter sp000435475,Ruthenibacterium lactatiformans,PeH17 sp000435055
Coprococcus sp000433075,Coprococcus ammoniilyticus,Suilimivivens sp000438155,Enterococcus_B faecium,CAG-882 sp003486385,Hominimerdicola aceti,Pseudoscillospira sp018369915,Bacteroides eggerthii
Prevotella copri_A,Suilimivivens sp000438155,Bacteroides caccae,Scatocola faecipullorum,Butyricimonas hominis,Parabacteroides merdae,Bacteroides caccae,Enterococcus_B faecium
Collinsella sp027671585,Acetatifactor hominis,Acetatifactor hominis,Desulfovibrio fairfieldensis_A,Agathobacter rectalis,Escherichia coli,Hominiventricola aquisgranensis,Scatocola faecipullorum
Adlercreutzia equolifaciens,Gemmiger sp900540595,Gemmiger sp900540595,Ruminococcus_C sp000980705,Ruthenibacterium lactatiformans,Apopatocola sp003522945,Suilimivivens sp000438155,Desulfovibrio fairfieldensis_A
CAG-269 sp001916035,Bifidobacterium longum,Bifidobacterium longum,CAG-269 sp001916065,Bacteroides caccae,Bacteroides cellulosilyticus,Coprococcus ammoniilyticus,Ruminococcus_C sp000980705
Anaerotardibacter sp000435475,Enterococcus faecalis,Enterococcus faecalis,Parasutterella excrementihominis,Coprococcus ammoniilyticus,Alistipes putredinis,Bifidobacterium longum,CAG-269 sp001916065
Hominimerdicola aceti,Otoolea fessa,Otoolea fessa,Prevotella stercorea,Suilimivivens sp000438155,Vescimonas cirricatena,Enterococcus faecalis,Dorea formicigenerans
Parabacteroides merdae,PeH17 sp000435055,Bacteroides eggerthii,CAG-115 sp003531585,Hominiventricola aquisgranensis,COE1 sp001916965,Otoolea fessa,Parasutterella excrementihominis
Escherichia coli,Bacteroides eggerthii,Enterococcus_B faecium,Coprococcus sp000433075,Gemmiger sp900540595,Muricoprocola aceti,Bacteroides eggerthii,CAG-115 sp003531585
Alistipes putredinis,Enterococcus_B faecium,Scatocola faecipullorum,Prevotella copri_A,Bifidobacterium longum,Lachnospira sp000437735,CAG-238 sp900542245,Prevotella stercorea
COE1 sp001916965,Scatocola faecipullorum,Desulfovibrio fairfieldensis_A,Adlercreutzia equolifaciens,Otoolea fessa,Faecalibacterium longum,Enterococcus_B faecium,Coprococcus sp000433075
Lachnospira sp000437735,Desulfovibrio fairfieldensis_A,Ruminococcus_C sp000980705,Collinsella sp027671585,Bacteroides eggerthii,Butyribacter hominis,Scatocola faecipullorum,Prevotella copri_A
Faecalibacterium longum,Ruminococcus_C sp000980705,CAG-269 sp001916065,CAG-269 sp001916035,Enterococcus_B faecium,Prevotella rara,Desulfovibrio fairfieldensis_A,Adlercreutzia equolifaciens
Butyribacter hominis,CAG-269 sp001916065,Parasutterella excrementihominis,Anaerotardibacter sp000435475,Scatocola faecipullorum,Lachnospira eligens_A,CAG-269 sp001916065,CAG-269 sp001916035
Prevotella rara,Dorea formicigenerans,Prevotella stercorea,Hominimerdicola aceti,Desulfovibrio fairfieldensis_A,Coprococcus_A catus,Dorea formicigenerans,Anaerotardibacter sp000435475
Lachnospira eligens_A,Parasutterella excrementihominis,CAG-115 sp003531585,Parabacteroides merdae,Ruminococcus_C sp000980705,Lachnospira sp000436535,Parasutterella excrementihominis,Hominimerdicola aceti
Coprococcus_A catus,CAG-115 sp003531585,Coprococcus sp000433075,Escherichia coli,CAG-269 sp001916065,Ruminococcoides intestinihominis,CAG-115 sp003531585,Parabacteroides merdae
Ruminococcoides intestinihominis,Prevotella stercorea,Prevotella copri_A,Bacteroides cellulosilyticus,Dorea formicigenerans,Fusicatenibacter saccharivorans,Coprococcus sp000433075,Escherichia coli
Fusicatenibacter saccharivorans,Coprococcus sp000433075,Collinsella sp027671585,Apopatocola sp003522945,Parasutterella excrementihominis,Vescimonas sp000435555,Collinsella sp027671585,Bacteroides cellulosilyticus
Vescimonas sp000435555,Collinsella sp027671585,Adlercreutzia equolifaciens,Alistipes putredinis,Prevotella stercorea,Roseburia rectibacter,Adlercreutzia equolifaciens,CAG-433 sp000433675
