sample,bacteria,without_pretreatment_abundance,with_pretreatment_abundance
942,Rothia sp916720455,0.0012523991966859,0.0023969174736772
942,Oscillibacter faecalis_A,0.0012005246737463,0.0039918474655973
942,Streptococcus ilei,0.0011782927353435,0.0045888155911176
942,Prevotella sp900551275,0.0011708820892093,0.0009346470652082
942,Prevotella sp900313215,0.0010819543355985,0.0026320867352464
942,Prevotella copri_I,0.0009856159358534,0.0007778675574958
942,Alistipes shahii,0.0009782052897192,0.0029335857885386
942,Laedolimicola intestinihominis,0.0009707946435849,0.0020893884393189
942,Veillonella sp905209685,0.0008892775361083,0.0019054740168115
942,Faecalibacterium taiwanense,0.0008892775361083,0.0043446013579502
942,Blautia_A sp934394595,0.0008818668899741,0.0022130030511686
942,Alitiscatomonas aceti,0.0008744562438398,0.0026531916689767
942,Streptococcus oralis_BA,0.0008744562438398,0.000726612718436
942,Enterocloster sp900541315,0.0008670455977056,0.0032230248797006
942,Alistipes putredinis,0.0008374030131687,0.0030933802867848
942,Oscillibacter sp900550685,0.0008299923670344,0.0020109986854638
942,Streptococcus salivarius_E,0.000785528490229,0.000811032453358
942,Odoribacter splanchnicus,0.0007781178440948,0.0036210036300481
942,Flavonifractor plautii,0.0007707071979605,0.0039074277306761
942,Pauljensenia sp000278725,0.0007484752595578,0.0022250630133008
942,Roseburia intestinalis,0.0007410646134236,0.001929593941075
942,Oscillibacter sp900544615,0.0007262433211551,0.0029516757317369
942,Granulicatella sp902479935,0.0007040113827524,0.000684402850975
942,CAG-103 sp000432375,0.0006447262136785,0.0017004546605723
942,Wujia hominis,0.0006373155675443,0.0025416370192592
942,Veillonella parvula_A,0.0006373155675443,0.0026139967920482
942,Hominicoprocola fusiformis,0.0006224942752758,0.0024602322748701
942,Collinsella sp003439125,0.0006150836291416,0
942,Dorea_A longicatena_C,0.0006150836291416,0.00107032163919
942,Romboutsia timonensis,0.0006002623368731,0.0015798550392551
942,UMGS1071 sp934476545,0.0005780303984704,0.0016461848309796
942,Schaedlerella hominis,0.0005706197523362,0.001326595834489
942,Streptococcus parasanguinis,0.0005632091062019,0.0013838806546147
942,Eubacterium_B sulci,0.0005632091062019,0.0028461510630854
942,Streptococcus mitis_AH,0.0005483878139334,0.0016250798972491
942,Evtepia gabavorous,0.0005409771677992,0.001757739480698
942,Prevotella sp934202525,0.0005409771677992,0.0006361630024481
942,Egerieimonas sp900552095,0.000533566521665,0.0016823647173747
942,Prevotella copri_E,0.0005261558755307,0.0003346639491551
942,Pilosibacter sp900066055,0.000503923937128,0.0002231092994367
942,Streptococcus infantis_M,0.0004965132909938,0.0009617819800045
942,Peptostreptococcus sp900759325,0.0004891026448596,0.0015798550392551
942,Haemophilus_D parainfluenzae_S,0.0004816919987253,0.0011155464971839
942,Acetatifactor acetigignens,0.0004816919987253,0.0014381504842074
942,Aphodousia sp905212345,0.0004742813525911,0.0003648138544844
942,Collinsella sp902364975,0.0004668707064568,0
942,Streptococcus xiaochunlingii,0.0004668707064568,0.0014894053232672
942,Prevotella copri_B,0.0004594600603226,0.0004974734379334
942,Veillonella rogosae,0.0004594600603226,0.0016190499161832
942,Mediterraneibacter_A butyricigenes,0.0004520494141884,0.0015497051339258
942,Choladousia sp902363665,0.0004446387680541,0.0014954353043331
942,Bacteroides salyersiae,0.0004446387680541,0.0006723428888433
942,Faecalimonas sp900556835,0.0004446387680541,0.0008200774249568
942,Coprococcus aceti,0.0004446387680541,0.0026471616879107
942,Granulicatella adiacens,0.0004224068296514,0.0011607713551779
942,Acetatifactor intestinalis,0.0004001748912487,0.000340693930221
942,Clostridium_AQ innocuum,0.0003927642451145,0.0013627757208842
942,Prevotella copri_K,0.0003853535989802,0.0005879231539212
942,Collinsella sp900757595,0.000377942952846,0
942,Prevotella copri,0.0003705323067118,0.0005004884284663
942,Faecalitalea cylindroides,0.0003705323067118,0.0002713491479636
942,Bifidobacterium adolescentis,0,0.0028732859778818
942,Streptococcus sp001813105,0,0.0022582279091633
942,Prevotella sp000434975,0,0.0020049687043977
942,Agathobacter faecis,0,0.0019506988748055
942,Granulicatella sp916049935,0,0.0016974396700394
942,Paraprevotella clara,0,0.0016883946984406
942,Hominisplanchenecus faecis,0,0.0016401548499137
942,Prevotella copri_A,0,0.0015677950771234
942,Weissella confusa,0,0.001540660162327
942,Pauljensenia sp916438945,0,0.0014803603516684
942,Haemophilus_D sp902482195,0,0.0014683003895367
942,Oscillibacter welbionis,0,0.0014652853990038
942,Bariatricus comes,0,0.0014652853990038
942,Holdemania filiformis,0,0.0013989556072793
942,Enterocloster bolteae,0,0.0013989556072793
942,Pauljensenia bouchesdurhonensis,0,0.0012934309386268
942,Bacteroides laotingensis,0,0.0011728313173096
942,Alistipes_A sp900539755,0,0.0011004715445193
942,Phocaeicola massiliensis,0,0.0010944415634534
942,Mediterraneibacter lactaris,0,0.0010823816013217
942,Roseburia rectibacter,0,0.0010823816013217
942,Streptococcus mitis_DL,0,0.0010642916581241
942,Veillonella atypica,0,0.0010552466865254
942,Limivivens faecihominis,0,0.0009738419421363
942,Ruminococcus_C callidus,0,0.0009708269516033
942,Streptococcus parasanguinis_C,0,0.0009678119610704
942,Ventricola sp900542445,0,0.0009256020936094
942,Vescimonas coprocola,0,0.0008954521882801
942,Pseudoscillospira sp018369915,0,0.0008743472545496
942,Eubacterium_R sp000436835,0,0.0008653022829508
942,Parasutterella gallistercoris,0,0.0008622872924179
942,Blautia_A caecimuris,0,0.0008532423208191
942,Lachnospira rogosae,0,0.0008472123397532
942,Corynebacterium durum,0,0.0008351523776215
942,Lancefieldella sp916438965,0,0.0008170624344239
942,Mogibacterium diversum,0,0.000814047443891
942,Bifidobacterium bifidum,0,0.0008080174628251
942,Prevotella stercorea,0,0.0008019874817593
942,Roseburia_C amylophila,0,0.0007869125290946
942,Pauljensenia sp902373545,0,0.000726612718436
942,Blautia_A hydrogenotrophica,0,0.0007205827373702
942,Rothia dentocariosa,0,0.0007205827373702
942,Hominimerdicola aceti,0,0.0007145527563043
942,Pauljensenia sp963531605,0,0.0006904328320409
942,Brotaphodocola sp003481825,0,0.0006874178415079
942,Bulleidia sp938039295,0,0.0006874178415079
942,Butyricimonas faecalis,0,0.0006663129077774
942,Fimenecus sp000432435,0,0.0006632979172445
942,Lactococcus lactis,0,0.0006572679361786
942,Gemella morbillorum,0,0.0006572679361786
942,Bacteroides cellulosilyticus,0,0.0006210880497835
942,Pauljensenia sp000758755,0,0.0006180730592505
942,Granulicatella sp916438765,0,0.0006150580687176
942,Prevotella copri_F,0,0.0005818931728554
942,Oscillibacter segnis,0,0.0005758631917895
942,Parabacteroides merdae,0,0.0005728482012566
942,Gemmiger sp900539695,0,0.0005698332107237
942,Bacteroides eggerthii,0,0.0005668182201907
942,Streptococcus australis_C,0,0.0005607882391249
942,Pseudoflavonifractor_A gallinarum,0,0.0005577732485919
942,Dorea_A longicatena,0,0.0005457132864602
942,Butyribacter intestini,0,0.0005336533243285
942,Haemophilus_D sp001815355,0,0.0005336533243285
942,Blautia_A sp005848555,0,0.0005306383337956
942,Collinsella sp003466125,0,0.0005276233432627
942,Granulicatella sp938039195,0,0.0005246083527297
942,Johnsonella sp916438835,0,0.0005215933621968
942,Streptococcus mitis_DE,0,0.000512548390598
