metaflye_2_8_3_contamination,metaflye_2_8_3_sr_contamination,metaflye_2_9_6_contamination,metaflye_2_9_6_sr_contamination,metaMDBG_contamination,metaMDBG_sr_contamination,myloasm_contamination,myloasm_sr_contamination,opera_ms_contamination,raven_contamination,raven_sr_contamination,hybridspades_contamination
6.13,6.38,5.97,2.56,4.12,8.83,1.02,3.41,0.11,3.04,3.14,2.34
1.66,0.39,9.77,8.37,0.49,5.76,4.9,1.08,0.58,2.28,0.16,4.25
2.94,1.17,3.47,0.51,5.61,0.51,1.76,3.7,3.49,2.72,2.24,4.68
0.07,0.34,3.87,4.63,1.68,0.88,1.6,5.94,3.89,9.71,9.78,2.63
4.05,5.42,4.12,1.04,1.73,1.79,6.13,0.0,1.32,3.44,6.25,6.6
1.99,1.76,4.96,7.06,3.73,7.48,8.35,5.9,0.35,4.82,5.9,3.37
0.95,2.37,3.88,5.32,2.82,1.95,1.18,3.9,1.64,2.78,3.87,3.99
6.47,0.36,0.84,9.0,6.86,0.89,7.9,1.78,0.78,6.66,3.78,3.36
4.34,3.57,6.01,0.62,9.25,4.6,3.83,0.35,0.24,4.38,0.85,0.81
1.69,0.3,1.36,0.08,6.58,1.38,5.29,3.3,4.01,2.46,2.02,3.96
3.44,2.97,2.15,5.01,5.48,0.54,2.36,8.8,0.39,8.59,2.23,0.26
2.65,7.36,6.93,3.04,4.83,5.33,3.67,4.44,4.81,1.95,6.33,5.67
6.27,0.03,1.55,4.89,8.8,0.4,1.18,1.78,4.24,3.1,8.72,6.05
1.99,1.7,9.76,8.48,4.1,9.23,1.52,4.83,5.97,1.18,6.17,2.59
6.83,3.71,4.7,6.66,4.65,0.53,3.0,1.34,0.71,2.51,3.55,3.06
6.64,1.46,0.8,4.74,1.85,0.12,4.28,0.02,1.91,3.12,3.86,0.09
4.75,2.71,3.24,6.06,4.99,0.58,8.9,1.43,2.34,0.94,1.03,0.04
2.13,2.6,5.0,3.12,1.3,0.5,6.38,2.05,0.79,4.66,4.08,1.74
0.57,0.23,1.57,0.39,4.52,2.36,8.78,0.45,0.03,8.37,5.39,7.73
0.93,8.22,0.33,7.07,3.12,0.03,8.48,3.38,2.22,9.94,0.43,0.03
8.99,1.24,5.41,4.79,3.56,0.58,8.65,0.29,0.84,2.35,7.19,1.21
3.46,4.28,6.36,4.21,6.45,0.83,0.17,0.09,0.03,6.17,3.85,2.91
6.7,0.0,0.49,0.73,3.78,9.63,3.54,0.42,0.0,3.5,1.43,5.05
7.47,2.23,3.34,0.15,3.45,0.38,4.07,1.35,0.95,3.04,3.38,3.99
3.22,5.02,2.48,1.02,5.26,4.59,0.0,1.18,4.94,6.05,0.3,8.19
6.52,4.35,3.25,0.89,2.49,0.53,3.25,4.45,0.15,3.12,1.02,3.58
